GISJOIN,FIPS,STATE,STATEFP_clean,COUNTY,COUNTY_CLEAN,COUNTYFP_clean,YEAR,POPULATION,AC_ERA,POP_1950,PCT_CHANGE_FROM_1950,REP_STATION,ANN_AVG_TEMP_F,SUMMER_AVG_MAX_F,SUMMER_RH_PCT,COOLING_DEGREE_DAYS,CLIMATE_ZONE
G3701470,37147,North Carolina,37,Pitt County,Pitt,147,1790,8270,Pre-AC,63789.0,-87.04,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701510,37151,North Carolina,37,Randolph County,Randolph,151,1790,7318,Pre-AC,50804.0,-85.6,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701530,37153,North Carolina,37,Richmond County,Richmond,153,1790,5053,Pre-AC,39597.0,-87.24,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701550,37155,North Carolina,37,Robeson County,Robeson,155,1790,5343,Pre-AC,87769.0,-93.91,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701570,37157,North Carolina,37,Rockingham County,Rockingham,157,1790,6211,Pre-AC,64816.0,-90.42,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701590,37159,North Carolina,37,Rowan County,Rowan,159,1790,15972,Pre-AC,75410.0,-78.82,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701610,37161,North Carolina,37,Rutherford County,Rutherford,161,1790,7808,Pre-AC,46356.0,-83.16,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701630,37163,North Carolina,37,Sampson County,Sampson,163,1790,6162,Pre-AC,49780.0,-87.62,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701690,37169,North Carolina,37,Stokes County,Stokes,169,1790,8423,Pre-AC,21520.0,-60.86,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701710,37171,North Carolina,37,Surry County,Surry,171,1790,7192,Pre-AC,45593.0,-84.23,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701770,37177,North Carolina,37,Tyrrell County,Tyrrell,177,1790,4826,Pre-AC,5048.0,-4.4,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701830,37183,North Carolina,37,Wake County,Wake,183,1790,10198,Pre-AC,136450.0,-92.53,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701850,37185,North Carolina,37,Warren County,Warren,185,1790,9379,Pre-AC,23539.0,-60.16,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701910,37191,North Carolina,37,Wayne County,Wayne,191,1790,6115,Pre-AC,64267.0,-90.49,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701930,37193,North Carolina,37,Wilkes County,Wilkes,193,1790,8157,Pre-AC,45243.0,-81.97,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G4500010,45001,South Carolina,45,Abbeville County,Abbeville,1,1790,9197,Pre-AC,22456.0,-59.04,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500130,45013,South Carolina,45,Beaufort County,Beaufort,13,1790,18753,Pre-AC,26993.0,-30.53,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500190,45019,South Carolina,45,Charleston County,Charleston,19,1790,66985,Pre-AC,164856.0,-59.37,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500230,45023,South Carolina,45,Chester County,Chester,23,1790,6866,Pre-AC,32597.0,-78.94,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500270,45027,South Carolina,45,Clarendon County,Clarendon,27,1790,2392,Pre-AC,32215.0,-92.57,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500370,45037,South Carolina,45,Edgefield County,Edgefield,37,1790,13289,Pre-AC,16591.0,-19.9,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500390,45039,South Carolina,45,Fairfield County,Fairfield,39,1790,7623,Pre-AC,21780.0,-65.0,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500430,45043,South Carolina,45,Georgetown County,Georgetown,43,1790,22122,Pre-AC,31762.0,-30.35,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500450,45045,South Carolina,45,Greenville County,Greenville,45,1790,6503,Pre-AC,168152.0,-96.13,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500570,45057,South Carolina,45,Lancaster County,Lancaster,57,1790,6302,Pre-AC,37071.0,-83.0,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500590,45059,South Carolina,45,Laurens County,Laurens,59,1790,9337,Pre-AC,46974.0,-80.12,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500690,45069,South Carolina,45,Marlboro County,Marlboro,69,1790,10706,Pre-AC,31766.0,-66.3,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500710,45071,South Carolina,45,Newberry County,Newberry,71,1790,9342,Pre-AC,31771.0,-70.6,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500750,45075,South Carolina,45,Orangeburg County,Orangeburg,75,1790,18513,Pre-AC,68726.0,-73.06,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
